city,lat,lng
mombaça,-5.74306,-39.6275
moju,-1.88389,-48.76889
mogeiro,-7.29944,-35.47944
mossoró,-5.1875,-37.34417
mocajuba,-2.58417,-49.50722
missão velha,-7.24972,-39.14306
mirinzal,-2.065,-44.78417
mirandiba,-8.12028,-38.72944
miranda do norte,-3.56516,-44.58018
miraíma,-3.56944,-39.97
mirador,-6.37083,-44.36306
miracema do tocantins,-9.56722,-48.39167
minador do negrão,-9.30528,-36.86472
milhã,-5.675,-39.19389
milagres,-7.31333,-38.94556
miguel leão,-5.68056,-42.73861
miguel alves,-4.16556,-42.89528
messias,-9.38333,-35.84167
meruoca,-3.54167,-40.455
melgaço,-1.80444,-50.71222
barreiras do piauí,-9.9228,-45.47718
mazagão,-0.115,-51.28944
maxaranguape,-5.51722,-35.25639
pureza,-5.46694,-35.55611
mauriti,-7.38917,-38.77444
maués,-3.38361,-57.71861
maturéia,-7.26694,-37.35139
matriz de camaragibe,-9.15167,-35.53333
mato grosso,-6.54305,-37.71504
matões,-5.51889,-43.19889
matinhas,-7.125,-35.76667
matinha,-3.10056,-45.03361
matias olímpio,-3.71583,-42.55556
mataraca,-6.60139,-35.05111
mata grande,-9.1175,-37.73222
massaranduba,-7.20028,-35.78917
massapê do piauí,-7.4623,-41.12645
massapê,-3.52278,-40.34278
mar vermelho,-9.4475,-36.38806
martins,-6.08778,-37.91111
martinópole,-3.22556,-40.69667
marizópolis,-6.84167,-38.34722
maribondo,-9.57722,-36.30528
mari,-7.06,-35.31944
marechal deodoro,-9.71028,-35.895
marcos parente,-7.12105,-43.8908
marcolândia,-7.4425,-40.66111
marco,-3.12389,-40.14667
marcelino vieira,-6.29417,-38.16722
marcação,-6.77,-35.01472
maravilha,-9.23556,-37.35
marapanim,-0.7175,-47.69972
maranguape,-3.89083,-38.68556
maraial,-8.7825,-35.80889
maragogi,-9.01222,-35.2225
maracanaú,-3.87667,-38.62556
maracanã,-0.77071,-47.45176
maracaçumé,-2.04278,-45.95917
marabá,-5.38146,-49.13232
manoel emídio,-8.01278,-43.87167
manari,-8.96389,-37.62833
manaíra,-7.70611,-38.15444
mamanguape,-6.83861,-35.12611
malta,-6.90444,-37.52194
major sales,-6.40611,-38.32389
major isidoro,-9.53222,-36.985
magalhães de almeida,-3.39611,-42.20389
mãe d'água,-7.25861,-37.42694
madalena,-4.85722,-39.57667
macururé,-9.1675,-39.0575
machados,-7.68222,-35.52278
maceió,-9.66583,-35.73528
macau,-5.115,-36.63444
macaparana,-7.55472,-35.45306
macapá,0.03889,-51.06639
macaíba,-5.85833,-35.35389
luzilândia,-3.45778,-42.37028
luís gomes,-6.41389,-38.38861
luís domingues,-1.32705,-45.8976
luís correia,-2.87917,-41.66694
lucrécia,-6.12,-37.81556
lucena,-6.90028,-34.86889
lizarda,-9.59417,-46.67306
livramento,-7.37417,-36.94639
limoeiro do norte,-5.14556,-38.09806
limoeiro do ajuru,-1.89528,-49.38056
limoeiro de anadia,-9.74056,-36.50278
limoeiro,-7.87472,-35.45028
lavras da mangabeira,-6.75333,-38.96444
lastro,-6.51556,-38.18028
landri sales,-7.26583,-43.93028
lajes pintadas,-6.15028,-36.11722
lajes,-5.7,-36.24472
lajedo,-8.66361,-36.32
lajeado,-9.75139,-48.35806
lagoinha do piauí,-5.83189,-42.63415
lago da pedra,-4.56033,-45.13155
lagoa seca,-7.17083,-35.85361
lagoa salgada,-6.12083,-35.47722
lagoa nova,-6.09401,-36.47219
lagoa grande,-8.99694,-40.27194
lagoa de velhos,-6.00389,-35.87167
lagoa do sítio,-6.51333,-41.58417
lagoa dos gatos,-8.65833,-35.9
lagoa de são francisco,-4.39308,-41.60054
lagoa do ouro,-9.1275,-36.45833
lagoa do itaenga,-7.93611,-35.29028
lagoa do carro,-7.84472,-35.31972
lagoa de pedras,-6.14917,-35.43778
lagoa da canoa,-9.82972,-36.73778
lagoa,-6.57056,-37.91583
juruti,-2.15222,-56.09222
juru,-7.53694,-37.81861
juripiranga,-7.37333,-35.23806
jurema,-9.2223,-43.12915
jupi,-8.71167,-36.415
junqueiro,-9.92528,-36.47583
jundiá,-8.93472,-35.57361
junco do seridó,-6.99667,-36.71306
jucurutu,-6.03389,-37.02028
jucati,-8.70639,-36.48889
jucás,-6.52528,-39.5275
juazeiro do norte,-7.21306,-39.31528
juazeiro,-9.41167,-40.49861
juazeiro do piauí,-5.17373,-41.70763
juarez távora,-7.17167,-35.58333
juá dos vieiras,-3.53333,-41.3
josé de freitas,-4.75639,-42.57556
josé da penha,-6.31667,-38.28139
joaquim nabuco,-8.62444,-35.53333
joaquim gomes,-9.13333,-35.74833
encanto,-6.11056,-38.30528
joão pessoa,-7.115,-34.86306
joão lisboa,-5.44778,-47.40083
joão dias,-6.27444,-37.79611
joão câmara,-5.5375,-35.81972
joão alfredo,-7.85583,-35.58833
girau do ponciano,-9.88417,-36.82889
jerumenha,-7.08778,-43.50972
jericó,-6.55361,-37.80861
jati,-7.68853,-39.00576
jataúba,-7.99,-36.49639
jardim do seridó,-6.58444,-36.77444
jardim de piranhas,-6.37861,-37.35194
jardim de angicos,-5.65361,-35.96889
jardim,-7.5817,-39.28348
jaramataia,-9.65944,-37.00194
jaqueira,-8.72667,-35.79333
japi,-6.465,-35.94667
japaratinga,-9.08833,-35.25833
boa saúde,-6.15833,-35.60056
janduís,-6.01556,-37.40889
jandaíra,-5.35639,-36.12806
jaicós,-7.35917,-41.13778
jaguaruana,-4.83389,-37.78111
jaguaribe,-5.89056,-38.62194
jaguaribara,-5.46033,-38.46263
jaguaretama,-5.61278,-38.76694
jacundá,-4.44696,-49.11556
jacuípe,-8.84167,-35.46
jacobina do piauí,-7.93643,-41.2113
jacaré dos homens,-9.63556,-37.20472
jacareacanga,-6.22222,-57.75278
jacaraú,-6.61222,-35.29278
jaçanã,-6.42583,-36.205
itupiranga,-5.13472,-49.32667
itaueira,-7.60333,-43.02556
itaubal,0.71167,-50.8
itaú,-5.83972,-37.99278
itatuba,-7.375,-35.62833
itatira,-4.52889,-39.62222
itarema,-2.92028,-39.915
itaquitinga,-7.66778,-35.10167
itacoatiara,-3.14306,-58.44417
itapororoca,-6.82972,-35.24722
itaporanga,-7.30444,-38.15028
itaporã do tocantins,-8.57139,-48.68917
itapiúna,-4.56444,-38.92222
itapissuma,-7.77639,-34.89222
itapiranga,-2.74889,-58.02194
itapipoca,-3.49444,-39.57861
itapetim,-7.37833,-37.19028
itapecuru mirim,-3.3925,-44.35861
itapagé,-3.68667,-39.58611
ilha de itamaracá,-7.74778,-34.82556
itaituba,-4.27611,-55.98361
itaitinga,-3.96944,-38.52806
itaipava do grajaú,-5.14325,-45.78914
itainópolis,-7.44694,-41.47833
itaiçaba,-4.67444,-37.8225
itaíba,-8.9475,-37.42278
itaguatins,-5.76889,-47.48333
itacuruba,-8.72722,-38.68333
itacajá,-8.39167,-47.76778
itabaiana,-7.32861,-35.3325
isaías coelho,-7.73778,-41.67611
irituia,-1.77111,-47.43806
irauçuba,-3.74611,-39.78333
sebastião leal,-7.5698,-44.06504
são benedito do sul,-8.80728,-35.93348
iracema,-5.81194,-38.30583
ipueiras,-7.03333,-40.45
ipueira,-6.81417,-37.19889
ipubi,-7.65194,-40.14889
ipu,-4.32222,-40.71083
ipojuca,-8.39889,-35.06389
ipiranga do piauí,-6.82833,-41.74056
ipaumirim,-6.78972,-38.71917
ipaporanga,-4.9,-40.75889
ipanguaçu,-5.50762,-36.8593
inhuma,-6.66833,-41.70778
inhapi,-9.22139,-37.74861
inhangapi,-1.42972,-47.91972
ingazeira,-8.63333,-38.65
ingá,-7.28083,-35.60444
independência,-5.39639,-40.30861
inajá,-8.90167,-37.82389
imperatriz,-5.52639,-47.49167
imaculada,-7.38972,-37.50917
iguatu,-6.35944,-39.29861
iguaraci,-7.83528,-37.51528
igarapé miri,-1.975,-48.95972
igarapé grande,-4.66303,-44.85586
igarapé-açu,-1.12889,-47.62
igarassu,-7.83417,-34.90639
igaci,-9.53694,-36.63361
ielmo marinho,-5.82417,-35.55278
icó,-6.40111,-38.86222
icatu,-2.77583,-44.06583
icapuí,-4.71306,-37.35528
ibirajuba,-8.58056,-36.17944
ibimirim,-8.54056,-37.69028
ibicuitinga,-4.97389,-38.63889
ibiara,-7.50139,-38.40472
ibiapina,-3.92333,-40.88944
ibateguara,-8.9725,-35.93944
ibaretama,-4.82065,-38.82294
iati,-9.04583,-36.84611
humberto de campos,-2.59833,-43.46111
horizonte,-4.09802,-38.486
hidrolândia,-4.408,-40.40414
gurupá,-1.405,-51.64
gurjão,-7.24852,-36.49358
gurinhém,-7.12389,-35.42444
guimarães,-2.13306,-44.60111
guaribas,-9.39547,-43.69293
guaramiranga,-4.26333,-38.93306
guaraciaba do norte,-4.16694,-40.7475
guarabira,-6.85472,-35.49
guaraí,-8.83417,-48.51028
guamaré,-5.1075,-36.32028
guajará,-2.96667,-57.66667
guaiúba,-4.03972,-38.63722
guadalupe,-6.79092,-43.57064
barra de guabiraba,-8.41649,-35.66287
grossos,-4.97972,-37.15472
groaíras,-3.91333,-40.38333
gravatá,-8.20111,-35.56472
granjeiro,-6.88833,-39.21778
granja,-3.12028,-40.82611
granito,-7.71611,-39.61472
grajaú,-5.81944,-46.13861
graça,-4.04611,-40.75278
governador dix-sept rosado,-5.45889,-37.52083
governador archer,-5.02222,-44.27111
gonçalves dias,-5.15332,-44.30013
goiatins,-7.71,-47.31417
goianorte,-8.77583,-48.93167
goianinha,-6.26617,-35.20969
goiana,-7.56056,-35.0025
glória do goitá,-8.00167,-35.29278
glória,-9.33806,-38.25472
gilbués,-9.83167,-45.34389
general sampaio,-4.05278,-39.45444
gararu,-9.9675,-37.08333
garanhuns,-8.88202,-36.50216
carnaubinha,-5.21492,-35.43523
gameleira,-8.58444,-35.38667
galinhos,-5.09056,-36.27528
fronteiras,-7.08806,-40.61639
frei miguelinho,-7.93972,-35.91222
frei martinho,-6.40306,-36.45556
frecheirinha,-3.76,-40.81639
francisco santos,-6.99278,-41.13778
francisco dantas,-6.08884,-38.12346
francisco ayres,-6.62306,-42.69278
francinópolis,-6.39583,-42.26194
fortuna,-5.73333,-44.15833
fortim,-4.45194,-37.79722
fortaleza dos nogueiras,-6.96389,-46.17722
fortaleza,-3.71722,-38.54306
forquilha,-3.79833,-40.26056
formosa da serra negra,-6.44458,-46.18883
floriano,-6.76694,-43.0225
floresta do piauí,-7.46722,-41.79977
floresta,-8.60111,-38.56861
flores do piauí,-7.79111,-42.92722
flores,-7.86806,-37.97472
florânia,-6.12722,-36.81806
flexeiras,-9.1975,-35.78083
filadélfia,-7.33611,-47.49028
ferreiros,-7.4475,-35.24417
ferreira gomes,0.85833,-51.18
fernando pedroza,-5.69722,-36.53111
felipe guerra,-5.59703,-37.69766
feira nova,-7.95083,-35.38917
feira grande,-9.90028,-36.6775
fartura do piauí,-9.48194,-42.78962
faro,-2.17139,-56.745
farias brito,-6.92806,-39.57232
fagundes,-7.355,-35.775
exu,-7.51194,-39.72417
dom expedito lopes,-6.95944,-41.64111
eusébio,-3.89,-38.45056
extremoz,-5.70556,-35.30722
ribeira do piauí,-7.69153,-42.71313
espírito santo,-6.33222,-35.30944
esperantinópolis,-4.87697,-44.88208
esperantina,-3.90167,-42.23361
esperança,-7.03306,-35.85722
escada,-8.35917,-35.22361
ereré,-6.03194,-38.34861
equador,-6.945,-36.71833
emas,-7.10778,-37.71556
eliseu martins,-8.09667,-43.66361
elesbão veloso,-6.20194,-42.14028
duque bacelar,-4.15556,-42.94444
duas estradas,-6.68861,-35.4169
doutor severiano,-6.09444,-38.37472
dona inês,-6.60375,-35.62702
dom pedro,-5.03825,-44.43746
dois riachos,-9.3925,-37.10056
dois irmãos do tocantins,-9.25833,-49.06444
desterro,-7.29056,-37.09389
demerval lobão,-5.35833,-42.67639
delmiro gouveia,-9.38861,-37.99917
custódia,-8.0875,-37.64306
cururupu,-1.82833,-44.86833
curuçá,-0.72889,-47.84806
curuá,-1.88806,-55.11667
curral velho,-7.58111,-38.19833
dom inocêncio,-9.00544,-41.97462
curral novo do piauí,-7.83297,-40.90082
curralinhos,-5.6187,-42.82842
curralinho,-1.81361,-49.79528
currais novos,-6.26083,-36.51778
currais,-9.01391,-44.39892
curaçá,-8.99028,-39.90944
cupira,-8.61667,-35.95
cumaru,-8.00611,-35.69722
cuitegi,-6.89333,-35.52333
cuité,-6.48361,-36.15361
cruzeta,-6.41167,-36.78972
cruz do espírito santo,-7.14,-35.08639
cruz,-2.9211,-40.17589
croatá,-4.41594,-40.90471
cristino castro,-8.81778,-44.22417
crato,-7.23417,-39.40944
crateús,-5.17775,-40.66949
craíbas,-9.61806,-36.76806
coxixola,-7.62667,-36.60583
couto magalhães,-8.36102,-49.17784
quiterianópolis,-5.84426,-40.70195
cortês,-8.47028,-35.54111
correntes,-9.12889,-36.33028
coronel joão pessoa,-6.25972,-38.44361
coronel ezequiel,-6.3825,-36.21472
coroatá,-4.13,-44.12417
coremas,-7.01444,-37.94583
coreaú,-3.55097,-40.65724
coqueiro seco,-9.63833,-35.80306
congo,-7.79694,-36.65972
condado,-7.58583,-35.10583
conceição do canindé,-7.87778,-41.59694
conceição do araguaia,-8.26441,-49.26982
conceição,-7.56222,-38.50889
santa rosa do piauí,-6.79726,-42.27932
colônia leopoldina,-8.90889,-35.725
colônia do piauí,-7.22889,-42.1785
colinas,-6.02583,-44.24917
colares,-0.93667,-48.28167
coivaras,-5.08944,-42.20333
coité do nóia,-9.63222,-36.57861
coelho neto,-4.25667,-43.01278
codó,-4.45528,-43.88556
cocal dos alves,-3.60147,-41.44311
cocal,-3.47194,-41.5575
chorrochó,-8.97972,-39.09639
chorozinho,-4.30028,-38.49778
choró,-4.84333,-39.14111
chaves,-0.16,-49.98833
chaval,-3.03361,-41.24389
chã preta,-9.25528,-36.29611
chapadinha,-3.74167,-43.36028
chã grande,-8.23833,-35.46167
chã de alegria,-8.00111,-35.21278
cedro,-7.72167,-39.23889
ceará-mirim,-5.63444,-35.42556
caxingó,-3.4175,-41.89611
caxias,-4.85889,-43.35611
caucaia,-3.73611,-38.65306
caturité,-7.42028,-36.02722
catunda,-4.64778,-40.20139
catolé do rocha,-6.34389,-37.74667
campo alegre de lourdes,-9.51729,-43.01026
catingueira,-7.12556,-37.60889
catende,-8.66667,-35.71667
catarina,-6.13083,-39.8775
castelo do piauí,-5.32222,-41.5525
castanhal,-1.29389,-47.92639
casinhas,-7.74111,-35.72111
cascavel,-4.13306,-38.24194
casa nova,-9.17419,-40.97514
carutapera,-1.20736,-46.0236
caruaru,-8.28333,-35.97611
carrapateira,-7.03889,-38.34361
carpina,-7.85083,-35.25472
carolina,-7.33561,-47.46218
carneiros,-9.4825,-37.37722
carnaubal,-4.16667,-40.94278
carnaubais,-5.33752,-36.83421
carnaúba dos dantas,-6.55556,-36.595
carnaubeira da penha,-8.31855,-38.74357
carnaíba,-8.7,-37.66667
cariús,-6.53722,-39.49667
caririaçu,-7.04222,-39.28361
cariré,-3.95056,-40.47333
caridade do piauí,-7.73241,-40.988
caridade,-4.23222,-39.1925
careiro da várzea,-3.19695,-59.82674
caraúbas,-7.72073,-36.49401
caracol,-9.27861,-43.33
capoeiras,-8.73472,-36.62667
capitão poço,-1.74639,-47.05944
capitão de campos,-4.45667,-41.9425
capistrano,-4.47,-38.90139
capim,-6.91611,-35.17167
capela,-9.4075,-36.07361
capanema,-1.19583,-47.18083
canudos,-9.89667,-39.02639
porto do mangue,-5.06778,-36.78167
canto do buriti,-8.11,-42.94444
cantanhede,-3.63333,-44.37667
canindé de são francisco,-9.66,-37.78944
canindé,-4.35889,-39.31167
canhotinho,-8.88222,-36.19111
canguaretama,-6.38,-35.12889
cândido mendes,-1.4532,-45.72831
canavieira,-7.68806,-43.72056
canapi,-9.11694,-37.60222
são joão da canabrava,-6.81674,-41.34592
camutanga,-7.40694,-35.27444
campos sales,-7.07444,-40.37611
campo redondo,-6.24139,-36.1825
campo maior,-4.82778,-42.16861
campo largo do piauí,-3.81079,-42.62896
campo grande do piauí,-7.13366,-41.0376
campo alegre,-9.78194,-36.35083
campo alegre do fidalgo,-8.37682,-41.83698
campinas do piauí,-7.66028,-41.88167
campina grande,-7.23056,-35.88111
campestre,-8.84583,-35.56806
camocim de são félix,-8.35861,-35.76194
camocim,-2.90222,-40.84111
cametá,-2.24444,-49.49583
camaragibe,-8.02167,-34.98111
camalaú,-7.88889,-36.82333
calumbi,-7.94139,-38.15
caldeirão grande do piauí,-7.33243,-40.63875
calçoene,2.4975,-50.94861
calçado,-8.74222,-36.33389
cajueiro,-9.70926,-36.44785
cajueiro da praia,-2.93098,-41.33597
cajazeiras do piauí,-6.79329,-42.39378
cajazeirinhas,-6.96111,-37.80611
cajazeiras,-6.89028,-38.55528
cajari,-3.32083,-45.01083
cajapió,-2.88083,-44.67472
caicó,-6.45833,-37.09778
caiçara do rio do vento,-5.76028,-35.99833
caiçara do norte,-5.06253,-36.05013
caiçara,-6.615,-35.46861
caetés,-8.77306,-36.6225
cacimbinhas,-9.40028,-36.99028
cacimba de dentro,-6.64167,-35.79
cacimba de areia,-7.12944,-37.15722
cachoeirinha,-8.48639,-36.23306
cachoeira dos índios,-6.92694,-38.67417
cachoeira do arari,-1.01139,-48.96333
cachoeira grande,-2.9298,-44.05438
cabrobó,-8.51417,-39.31
cabo de santo agostinho,-8.28773,-35.02925
cabedelo,-6.98111,-34.83389
cabeceiras do piauí,-4.47611,-42.30858
morro cabeça no tempo,-9.7263,-43.90865
cabaceiras,-7.48889,-36.28722
caaporã,-7.51556,-34.90833
buritirana,-5.59164,-47.01531
buriti dos montes,-5.31194,-41.09722
buriti dos lopes,-3.175,-41.86694
buriti bravo,-5.83722,-43.83361
buriti,-3.94222,-42.925
bujaru,-1.515,-48.04472
buíque,-8.62306,-37.15583
breves,-1.68222,-50.48028
brejo santo,-7.49333,-38.98722
brejo dos santos,-6.37667,-37.82472
brejo do cruz,-6.34861,-37.49833
brejo da madre de deus,-8.14583,-36.37111
brejo do piauí,-8.20673,-42.83468
brejo,-3.68444,-42.75028
brejinho,-9.1,-38.28333
brejão,-9.03028,-36.56861
brasileira,-4.13044,-41.78228
branquinha,-9.24556,-36.01528
bragança,-1.05361,-46.76556
borborema,-6.80333,-35.58
borba,-4.39143,-59.58864
boqueirão,-7.48179,-36.13222
bonito de santa fé,-7.31333,-38.515
bonito,-8.47028,-35.72861
bonfim do piauí,-9.16935,-42.8754
bom sucesso,-6.445,-37.92944
bom princípio do piauí,-3.1919,-41.64378
bom lugar,-4.37204,-45.0337
bom jesus do tocantins,-8.965,-48.16639
bom jardim,-7.79583,-35.58722
bom conselho,-9.16972,-36.67972
barra de santana,-7.52285,-35.99779
bodocó,-7.77833,-39.94111
bodó,-5.98833,-36.41306
bocaina,-6.9425,-41.3225
boca da mata,-9.64139,-36.22028
boa vista,-7.25944,-36.24
boa viagem,-5.1275,-39.73222
boa cica,-5.28132,-35.56673
bezerros,-8.23333,-35.79694
betânia,-8.27472,-38.03417
bertolínia,-7.64111,-43.95139
bequimão,-2.44889,-44.7825
bento fernandes,-5.69389,-35.81972
benevides,-1.36139,-48.24472
benedito leite,-7.22278,-44.55833
beneditinos,-5.45,-42.36667
belterra,-2.63639,-54.93722
belo monte,-9.82833,-37.28
belo jardim,-8.33556,-36.42417
belém do brejo do cruz,-6.18861,-37.53583
belém de são francisco,-8.75389,-38.96583
belém de maria,-8.62556,-35.83
belém,-9.57111,-36.49222
bela cruz,-3.05056,-40.16778
beberibe,-4.17972,-38.13056
bayeux,-7.125,-34.93222
baturité,-4.32861,-38.88472
batalha,-9.67778,-37.12472
barroquinha,-3.01889,-41.13611
barro duro,-5.81694,-42.51306
barro,-7.17846,-38.78003
barreiros,-8.81833,-35.18639
barreirinhas,-2.75556,-42.82591
barreirinha,-2.79333,-57.07
barreira,-4.28694,-38.64306
barras,-4.24444,-42.29444
barra do corda,-5.50556,-45.24333
barra de santo antônio,-9.40472,-35.50722
barra de santa rosa,-6.71972,-36.06056
barcelona,-5.95056,-35.92639
barcarena,-1.50583,-48.62583
barbalha,-7.31111,-39.30417
baraúna,-6.64278,-36.25361
barão de grajaú,-6.75639,-43.02417
bananeiras,-6.75,-35.63333
balsas,-7.5325,-46.03556
baixio,-6.73,-38.71694
são miguel da baixa grande,-5.86497,-42.18686
baixa do quinquim,-5.21833,-35.61725
baião,-2.79056,-49.67167
baía formosa,-6.36944,-35.00778
baía da traição,-6.68833,-34.93583
bagre,-1.89969,-50.20821
bacurituba,-2.70583,-44.73778
bacuri,-1.72751,-45.14216
bacabal,-4.23246,-44.78164
babaçulândia,-7.20472,-47.75694
axixá do tocantins,-5.6145,-47.76884
axixá,-2.83694,-44.05333
aveiro,-3.60556,-55.33167
autazes,-3.57972,-59.13056
aurora,-6.9425,-38.9675
augusto corrêa,-1.02167,-46.635
atalaia,-9.50194,-36.02278
assunção,-7.07444,-36.73111
assunção do piauí,-5.86294,-41.04916
assaré,-6.87444,-39.875
arraial,-6.65472,-42.53167
aroeiras,-7.54528,-35.7075
aroeiras do itaim,-7.27951,-41.56358
aroazes,-6.11889,-41.79306
arneiroz,-6.32361,-40.16056
arês,-6.19444,-35.16028
areia de baraúnas,-7.12278,-36.94111
areia branca,-4.95611,-37.13694
areia,-6.96333,-35.69167
arcoverde,-8.41889,-37.05389
aratuba,-4.41833,-39.045
araruna,-6.55833,-35.74167
araripina,-7.57611,-40.49833
araripe,-7.21337,-40.137
arari,-3.45361,-44.78
ararendá,-4.75278,-40.83278
arara,-6.82833,-35.75833
arapoema,-7.65778,-49.06389
arapiraca,-9.7525,-36.66111
araioses,-2.89,-41.90306
araguatins,-5.65084,-48.11119
araguanã,-6.58111,-48.64444
araguaína,-7.19111,-48.20722
araguacema,-8.80361,-49.55639
araçoiaba,-7.79028,-35.09083
aracoiaba,-4.37111,-38.81417
aracati,-4.56167,-37.76972
araçagi,-6.85306,-35.38111
aquiraz,-3.90139,-38.39111
apuiarés,-3.94889,-39.43167
apodi,-5.66417,-37.79889
aparecida,-6.78444,-38.08667
antônio martins,-6.21278,-37.90556
antonina do norte,-6.775,-39.98917
são joão do rio do peixe,-6.72917,-38.44889
angicos,-5.66556,-36.60111
angical do piauí,-6.08556,-42.73917
angelim,-8.89028,-36.28583
anapurus,-3.67167,-43.11611
ananindeua,-1.36556,-48.37222
ananás,-6.36528,-48.07278
anajatuba,-3.26444,-44.61972
anajás,-0.98667,-49.94
anadia,-9.68444,-36.30417
amparo,-7.56806,-37.06361
amontada,-3.36167,-39.83167
amarante do maranhão,-5.56667,-46.74222
amarante,-6.24316,-42.84544
amaraji,-8.38306,-35.4525
amapá,2.045,-50.78821
alto santo,-5.52083,-38.27167
altos,-5.03806,-42.46
alto parnaíba,-9.11083,-45.92972
alto longá,-5.25111,-42.21028
alto do rodrigues,-5.28833,-36.76222
altinho,-8.48972,-36.05944
alter do chão,-2.50361,-54.9525
altaneira,-7.00167,-39.74056
altamira do maranhão,-4.16638,-45.46515
altamira,-3.20333,-52.20639
almino afonso,-6.15222,-37.76611
almeirim,-1.52333,-52.58167
aliança,-7.60333,-35.23083
alhandra,-7.43861,-34.91444
algodão de jandaíra,-6.9043,-36.00833
alenquer,-1.94167,-54.73833
alegrete do piauí,-7.24298,-40.85986
alcantil,-7.74389,-36.05611
alcântaras,-3.58889,-40.54556
alcântara,-2.4041,-44.41669
alagoinha,-8.46639,-36.77583
alagoinha do piauí,-7.00956,-40.93792
alagoa nova,-7.07083,-35.75833
alagoa grande,-7.04159,-35.62699
são sebastião de lagoa de roça,-7.10552,-35.86855
aiuaba,-6.57361,-40.12361
aguiar,-7.09194,-38.17056
águas belas,-9.11139,-37.12306
água preta,-8.7075,-35.53056
água nova,-6.20597,-38.29157
água branca,-9.26083,-37.93611
agricolândia,-5.79671,-42.66181
agrestina,-8.45806,-35.94472
afuá,-0.15667,-50.38667
afrânio,-8.515,-41.005
afonso bezerra,-5.49833,-36.50556
afogados da ingazeira,-7.75083,-37.63917
acauã,-8.215,-41.08167
açu,-5.57667,-36.90861
acopiara,-6.09528,-39.4525
acari,-6.43556,-36.63889
acaraú,-2.88556,-40.12
acarape,-4.22417,-38.70833
acará,-1.96083,-48.19667
abreu e lima,-7.91167,-34.90278
abaré,-8.72028,-39.11389
abaiara,-7.36035,-39.04888
abaetetuba,-1.71806,-48.8825
são joão da baliza,0.95,-59.91181
madeiro,-3.48278,-42.50444
murici dos portelas,-3.32383,-42.08982
mata roma,-3.625,-43.11111
joaquim pires,-3.50833,-42.19778
são joão do arraial,-3.81484,-42.45241
são sebastião do uatumã,-2.56497,-57.87259
boa vista do ramos,-2.96972,-57.58684
abreulândia,-9.62139,-49.15083
angico,-6.38917,-47.86444
aparecida do rio negro,-9.95167,-47.97222
aragominas,-7.15972,-48.5275
augustinópolis,-5.46854,-47.88863
barrolândia,-9.83556,-48.72528
bernardo sayão,-7.87361,-48.88833
brasilândia do tocantins,-8.3875,-48.48111
buriti do tocantins,-5.31528,-48.22972
campos lindos,-7.99389,-46.86806
carmolândia,-7.03333,-48.39611
caseara,-9.27833,-49.95556
centenário,-8.95056,-47.33583
colméia,-8.72944,-48.76472
divinópolis do tocantins,-9.79972,-49.21389
fortaleza do tabocão,-9.05722,-48.51889
itapiratins,-8.38389,-48.11139
juarina,-8.11944,-49.06472
marianópolis do tocantins,-9.79583,-49.65417
palmeiras do tocantins,-6.6125,-47.54583
presidente kennedy,-8.53944,-48.50611
recursolândia,-8.72778,-47.24306
rio dos bois,-9.345,-48.53528
rio sono,-9.34361,-47.90194
sampaio,-5.34833,-47.87306
santa fé do araguaia,-7.15583,-48.70278
santa maria do tocantins,-8.77542,-47.74745
são miguel do tocantins,-5.55196,-47.57811
wanderlândia,-6.84917,-47.96306
maurilândia do tocantins,-5.95306,-47.50639
colinas do tocantins,-8.05917,-48.475
darcinópolis,-6.70707,-47.74927
miranorte,-9.52944,-48.59
muricilândia,-7.14583,-48.61
piraquê,-6.77361,-48.29694
zacarias,-21.05222,-50.05083
xique-xique,-10.82294,-42.72815
xaxim,-26.96167,-52.53472
xavantina,-27.06861,-52.34194
santa rita do pardo,-21.30156,-52.82879
chavantes,-23.03889,-49.70944
xanxerê,-26.87694,-52.40417
xambrê,-23.73611,-53.49
witmarsum,-26.92611,-49.79583
wagner,-12.28694,-41.16833
pedro alexandre,-10.01252,-37.89466
votuporanga,-20.42278,-49.97278
votorantim,-23.54667,-47.43778
volta redonda,-22.52306,-44.10417
volta grande,-21.77056,-42.53889
vitorino,-26.26506,-52.78068
vitória da conquista,-14.86611,-40.83944
vitória brasil,-20.19667,-50.48444
vitória,-20.31944,-40.33778
vista gaúcha,-27.2891,-53.70297
vista alegre do alto,-21.17056,-48.62917
vista alegre do prata,-28.80812,-51.78744
visconde do rio branco,-21.01028,-42.84056
virmond,-25.38111,-52.19944
virgolândia,-18.47583,-42.30667
virginópolis,-18.82278,-42.70389
virgínia,-22.33333,-45.09167
virgem da lapa,-16.80444,-42.34306
viradouro,-20.87306,-48.29694
vinhedo,-23.02972,-46.97528
vila velha,-20.32972,-40.2925
modelo,-26.77669,-53.05434
vila mariana,-23.58833,-46.63464
vila maria,-23.51408,-46.58625
glória de dourados,-22.41564,-54.23005
vila flores,-28.86278,-51.53333
vieiras,-20.86583,-42.24361
videira,-27.00833,-51.15167
vidal ramos,-27.39194,-49.35583
vicente dutra,-27.16194,-53.40528
vianópolis,-16.74194,-48.51639
viamão,-30.08111,-51.02333
viadutos,-27.56944,-52.02028
vespasiano corrêa,-29.0675,-51.85917
vespasiano,-19.69194,-43.92333
vermelho novo,-20.03611,-42.26694
veríssimo,-19.66333,-48.30833
veredinha,-17.39944,-42.73556
