city,lat,lng
qurghān,36.91939,65.0649
quchanghī,34.06183,66.27801
qaīşār,35.68747,64.29318
qarqīn,37.41853,66.04358
qarghah’ī,34.55402,70.24292
qarchī gak,37.03999,66.78891
qarāwul,37.21959,68.7802
qarah bāgh,34.94023,61.77589
qala i naw,34.98735,63.12891
qal‘ah-ye kūf,38.04119,70.47298
qal‘ah-ye kuhnah,32.61591,63.66681
qal‘ah-ye shahr,35.54729,65.5676
qalāt,32.10575,66.90833
qal‘ah-ye shāhī,34.64921,70.5914
qādis,34.8085,63.43003
pārūn,35.42064,70.92261
pul-e khumrī,35.94458,68.71512
pul-e ‘alam,33.99529,69.02274
pasnay,35.76664,65.76486
pāshmūl,31.5572,65.4343
pasāband,33.68956,64.8531
panjāb,34.38795,67.02327
paghmān,34.58787,68.95091
ōmnah,32.90029,68.79627
ōbêh,34.36972,63.17639
uruzgān,32.92775,66.63253
urgun,32.9515,69.1828
nūsay,38.4435,70.80413
nūrgal,34.61341,70.76498
now zād,32.40315,64.46959
nīlī,33.72178,66.13023
nayak,34.73414,66.95292
nāyak,32.5723,66.77403
now dahānak,35.62398,70.00511
ōkak,33.89793,67.95652
nāṟay,35.21995,71.52284
narang,34.76009,71.04738
nīkêh,33.18934,69.27179
nahrīn,36.0649,69.13343
ḩukūmat-e nād ‘alī,31.64286,64.23982
mūsá qal‘ah,32.44565,64.74486
bala murghab,35.58408,63.32886
muqêr,32.82009,67.76934
muḩammad āghah wuluswālī,34.21422,69.10026
mīzān ‘alāqahdārī,32.17635,66.51271
mīr bachah kōṯ,34.74999,69.11899
mīrān,34.22037,68.31259
mīrābād,30.43624,61.8383
maymana,35.92139,64.78361
maīdān khūlah,33.64916,69.7812
mingajik,37.0279,66.12817
mehtar lām,34.67139,70.20944
mazār-e sharīf,36.70904,67.11087
māymay,38.40856,71.03839
mutā khān,33.24001,68.8663
mashhad,36.81665,70.10211
mardīān,36.99252,66.29654
mandōl,35.28403,70.17017
māmā khēl,34.24494,69.9968
lashkar gāh,31.59382,64.37161
lāsh-e juwayn,31.71382,61.62272
larkird,35.48936,66.66409
la‘l,34.50141,66.27997
kushk,33.29565,61.95221
rāẕay balochi,31.46404,62.69955
kōṯowāl,34.10319,70.46073
kushk-e kuhnah,34.8711,62.54762
kuran wa munjan,36.02866,70.77258
kunduz,36.72895,68.857
khōshī,33.99916,69.21582
khōshāmand,32.68567,68.23801
khwājah ghār,37.06588,69.42126
khwājah dū kōh,36.82881,65.62432
deh khwāhān,37.88965,70.21875
khulbisāt,33.4948,70.00605
khūgyāṉī,31.56267,66.5814
khōst,33.33951,69.92041
khulm,36.69736,67.69826
khudāydād khēl,35.17835,67.68758
khinjān,35.58908,68.90093
khinj,35.42898,69.73482
khāsh,31.52919,62.79055
khān neshīn,30.5488,63.7888
khānaqāh,36.62587,69.53695
chahār bāgh,37.00108,65.22392
khandūd,36.95127,72.318
khanabad,36.68304,69.11279
khamyāb,37.5275,65.75833
khākirān,32.8385,67.07377
kaz̲h̲ah,34.24088,70.18274
kishk-e nakhūd,31.62519,65.05511
karukh,34.48108,62.5863
kanḏay,34.9536,70.77897
kandahār,31.61332,65.71013
kalān deh,33.83676,68.40233
kalakān,34.78371,69.15001
kalafgān,36.77226,69.94489
kajrān,33.20357,65.47311
kā’ī,34.12819,70.71828
kabul,34.52813,69.17233
jurm,36.86477,70.83421
jawand,35.06361,64.14917
jānī khēl,32.76315,68.39722
jalrēz,34.4708,68.65438
jalālābād,34.42647,70.45153
jabal os saraj,35.11833,69.23778
ḩukūmat-e shīnkaī,31.98303,67.33558
herāt,34.34817,62.19967
ḩājī khēl,35.10922,69.43341
ḩāfiz̧ moghul,37.05643,70.40061
ḩāfiz̧ān,34.28665,70.37247
guz̄arah,34.21223,62.21235
gōshtah,34.35822,70.76264
gōmal kêlay,32.50989,68.85598
‘alāqahdārī gēlān,32.72692,67.63696
ghōriyān,34.3448,61.49321
ghormach,35.73062,63.78264
ghurayd gharamē,36.5222,70.79063
ghazni,33.55391,68.42096
gereshk,31.82089,64.57005
gardez,33.59744,69.22592
fayzabad,37.11664,70.58002
faīẕābād,36.82091,66.45921
fayẕābād,36.29111,64.86222
qal‘ah-ye fārsī,33.78529,63.24735
farkhār,36.57288,69.85783
farah,32.37451,62.11638
istālif,34.83268,69.07756
eslam qaleh,34.66667,61.06667
islām chumgar,37.3011,66.46181
injīl,34.30157,62.2465
imām şāḩib,37.18897,68.93644
dōshī,35.60918,68.68473
dowlatyār,34.55132,65.79302
dowlat shāh,34.9504,70.07102
dowlatābād,36.98821,66.82069
dū qal‘ah,32.14237,61.4469
dūāb,35.56277,67.82191
dê nārkhēl kêlay,32.43205,65.63484
dehī,35.95806,67.27998
deh-e şalāḩ,35.69031,69.31511
deh-e now,34.74767,69.04784
dehdādī,36.66319,66.99339
dwah manḏay,33.28159,69.58531
dasht-e qal‘ah,37.1539,69.4435
dasht-e archī,37.13333,69.16667
darzāb,35.97744,65.37828
markaz-e ḩukūmat-e darwēshān,31.13231,64.1934
darqad,37.38414,69.45294
darāyim,36.86667,70.38333
dāngām,34.99249,71.41935
ḏanḏar,34.79095,69.47504
ḩukūmatī dahanah-ye ghōrī,35.90617,68.48869
tsowkêy,34.69246,70.92688
chīras,35.41674,65.98234
chīchkah,37.07045,69.29842
chisht-e sharīf,34.34731,63.73966
chinār,32.01583,65.10721
chimtāl,36.67818,66.80325
charkh,33.79712,68.93749
charikar,35.01361,69.17139
dowr-e rabāţ,36.69132,68.79093
tsapêraī,33.83003,69.9192
tsamkanī,33.80298,69.81671
chakaray,34.34099,69.4377
chākarān,36.91112,71.0688
chahār qal‘ah,33.55267,68.29828
chahār burj,34.24475,62.19165
chāh āb,37.39773,69.81464
fayrōz kōh,34.51952,65.25093
bulōlah,34.87706,68.0879
bal chirāgh,35.84026,65.2309
bāzār-e tālah,35.39205,68.22317
muhmand dara,34.24749,70.87218
būrkah,36.22242,69.15037
barg-e matāl,35.67283,71.34339
barakī,33.93949,68.92201
baraki barak,33.96744,68.9492
banū,35.63348,69.26019
bāmyān,34.82156,67.82734
balkh,36.75635,66.8972
bahārak,37.00254,70.90664
bagrāmī,34.49376,69.27427
baghlān,36.13068,68.70829
ḩukūmatī azrah,34.17355,69.64573
ārt khwājah,37.08571,69.47958
‘alāqahdārī aṯghar,31.73506,67.3574
āsmār,35.03333,71.35809
ashkāsham,36.68333,71.53333
asadābād,34.87311,71.14697
aqcha,36.905,66.18341
andkhoy,36.95293,65.12376
’unābah,35.23251,69.37719
anār darah,32.7587,61.65397
amānzī,30.21144,66.04765
‘alāqahdārī-ye almār,35.84616,64.53074
‘alī shēr ‘alāqahdārī,33.4362,70.06711
wuluswālī ‘alīngār,34.83529,70.3593
‘alī khēl,33.94253,69.71908
‘alāqahdārī yōsuf khēl,33.05195,68.65
‘alāqahdārī dīshū,30.43206,63.29802
alah sāy,34.8965,69.72049
pachīr wa āgām,34.20011,70.27806
āfāqī,36.66172,69.35095
adraskan,33.64573,62.26959
āb-e kamarī,35.08796,63.0678
khadīr,33.92232,65.93398
ghulām ‘alī,34.95076,69.2287
qarah bāgh bāzār,34.8529,69.17062
zargarān,34.78764,69.05878
surkh bilandī,34.68474,69.02863
pul-e sangī,34.59972,69.25993
langar,35.99474,68.05081
bāgh-e maīdān,35.22156,69.21397
ibrāhīm khān,35.05352,69.25654
qaranghū tōghaī,37.21528,67.63972
bāzārak,35.31292,69.51519
shērwānī-ye bālā,35.01468,69.59934
kirāmān,35.2973,69.68125
‘alāqahdārī saṟōbī,32.79331,69.0866
zīṟūk ‘alāqahdārī,33.15806,69.31278
kushkak,32.28991,61.52194
khayr kōṯ,32.85355,68.44971
chowṉêy,33.38278,66.27233
wuṯahpūr,34.91914,71.09863
karbōṟī,34.96597,71.2746
sulţānpūr-e ‘ulyā,34.41204,70.29634
bābā şāḩib,31.66144,65.66098
chandal bā’ī,34.58469,68.95524
dahan-e jarf,34.92891,68.46273
maydanshakhr,34.39561,68.86618
dū laīnah,34.15599,64.78566
qaram qōl,36.83006,65.04299
pul-e ḩişār,35.61794,69.47134
lab-sar,36.02634,66.83799
ţāqchah khānah,36.61922,69.62805
march,37.52845,70.4482
zīrakī,37.59233,70.55814
‘alīābād,36.52115,68.89985
pas pul,37.47355,70.61617
qal‘ah-ye na‘īm,34.39951,69.16705
markaz-e woluswalī-ye āchīn,34.12583,70.70778
māṉōgay,34.99015,70.91302
stêr giyān,32.97704,69.37308
sharan,33.17568,68.73045
salām khēl,33.67067,69.32983
mazad,31.54576,62.73484
willikies,17.08684,-61.7093
swetes,17.05037,-61.80091
saint john’s,17.12096,-61.84329
potters village,17.11337,-61.81962
piggotts,17.11667,-61.8
parham,17.09682,-61.77046
new winthorpes,17.14575,-61.81344
liberta,17.04141,-61.79052
falmouth,17.02741,-61.78136
codrington,17.6394,-61.82437
bolands,17.06565,-61.87466
all saints,17.06671,-61.79303
sugar factory,17.08837,-61.81752
jacks hill,17.10929,-61.86328
st. paul parish,17.0234,-61.76928
barbuda parish,17.62403,-61.77651
st. george parish,17.11692,-61.79561
st. peter parish,17.08487,-61.71223
st. mary parish,17.07223,-61.87441
st. philip parish,17.05426,-61.72716
west end village,18.17191,-63.14941
the valley,18.21704,-63.05783
the quarter,18.20799,-63.04178
farrington,18.215,-63.02238
stoney ground,18.22026,-63.04607
south hill village,18.19201,-63.08779
sandy ground village,18.20118,-63.08998
north side,18.22919,-63.04401
north hill village,18.20542,-63.07847
island harbour,18.25601,-63.0102
